block_id,node id
84,5553
85,8120
86,7774
89,9058
90,2765
91,5373
92,8559
304,177721
305,178246
306,177306
307,171696
330,141708
331,142682
332,142224
333,142892
338,135575
339,135575
340,134663
341,136423
342,137569
345,172602
346,138287
412,143641
413,137594
414,133001
516,167404
517,147139
541,39403
571,74959
572,165972
599,140273
618,178487
619,177125
620,171534
623,173130
624,173534
625,177780
628,168854
629,175040
630,176171
636,179041
641,172855
642,175645
645,179024
646,172938
647,172145
650,176216
651,178177
654,179146
656,172001
657,177131
658,175843
659,172940
660,178503
661,169334
662,170020
663,175885
664,174010
665,175734
679,140576
682,164312
683,147202
692,13623
693,17483
700,108273
701,103303
750,47210
788,161199
823,155739
824,165624
910,68704
911,66528
912,68501
925,148264
1076,71284
1077,62616
1173,167548
1174,159044
1219,112077
1220,105541
1221,111410
1222,101804
1223,75490
1224,75570
1225,75490
1226,87262
1313,180579
1314,180579
1318,141468
1319,143821
1321,141562
1322,142911
1323,142325
1324,142568
1325,141299
1326,143930
1327,143763
1328,141032
1329,141683
1333,142766
1334,166926
1342,141310
1343,143100
1346,15033
1347,153634
1348,141615
1352,141084
1356,142015
1357,142568
1359,140382
1361,137519
1364,158196
1365,146652
1380,144926
1496,24236
1508,72856
1574,34709
1575,37641
1586,76382
1587,94780
1588,113837
1664,108933
1665,143636
1678,113531
1681,93859
1684,90582
1685,95463
1704,93857
1933,54255
1934,52887
1979,165121
2098,129160
2106,130734
2107,129620
2161,38018
2162,30984
2231,61655
2305,1818
2322,78550
2323,88806
2324,88806
2333,134701
2334,138451
2357,142443
2485,144608
2606,36419
2609,51513
2610,46597
2611,39514
2612,34753
2613,32510
2618,50884
2622,147143
2623,168183
2626,110343
2627,158281
2628,167440
2646,143971
2647,142772
2748,100656
2749,107898
2750,8495
2751,2145
2752,8179
2753,4154
2992,25869
3019,20419
3024,135938
3228,58927
3229,107461
3349,47987
3384,32795
3435,64963
3436,66618
3439,65247
3442,69457
3443,70056
3445,64601
3446,65479
3447,70255
3451,71164
3452,70948
3456,165356
3457,71077
3459,37303
3462,66304
3463,65690
3478,66984
3479,64981
3480,65739
3481,70301
3486,69868
3487,71534
3490,69087
3491,71806
3492,71640
3493,67476
3496,66791
3519,113467
3520,107575
3521,147767
3539,5964
3564,141873
3603,168723
3604,145830
3608,159730
3609,158250
3706,39696
3707,44434
3710,7772
3711,24805
3712,23472
3716,24804
3866,52264
3867,30394
3899,25397
3912,102449
3913,76484
3914,103507
3915,73709
3916,90888
3917,90888
3918,113997
3919,82384
3920,92108
3921,73828
3922,78378
3924,109137
3925,76548
3928,107878
3929,76701
3930,110134
3931,93830
3932,112293
3933,105561
3935,81804
3936,113393
3938,74174
3939,111951
3940,78091
3941,101330
4046,37055
4047,38351
4075,66791
4076,64975
4109,18935
4110,12156
4126,2474
4155,19868
4161,113581
4226,151407
4227,155421
4231,146145
4258,59147
4259,85117
4260,85829
4261,84634
4262,86243
4263,86543
4264,84397
4265,84397
4266,87625
4267,87060
4268,38046
4269,85421
4270,89111
4271,89146
4272,87776
4273,83889
4282,141338
4283,143863
4289,83890
4370,109220
4371,101097
4523,87223
4524,114210
4525,102593
4527,87066
4528,111055
4529,102093
4534,110727
4535,86005
4536,113632
4778,143396
4779,142473
4780,141635
4781,141099
4782,142627
4783,142695
4784,143399
4785,142956
4786,142414
4789,142568
4790,142797
4791,143796
4792,142543
4868,166522
4869,157706
4873,180077
4874,166707
4923,77706
4924,110513
4925,104778
4983,175447
4984,177068
4986,171971
4987,173744
4988,172637
4989,67364
4990,65908
5001,83111
5002,75348
5020,177892
5021,178944
5090,54886
5091,60963
5095,4546
5096,7909
5101,167466
5102,145021
5145,110206
5146,109222
5151,78647
5162,10268
5163,150234
5195,35314
5196,37225
5201,40742
5236,138825
5243,170732
5244,174607
5261,109840
5262,77341
5263,96383
5411,11800
5412,137901
5415,33888
5416,40033
5418,84141
5419,79208
5484,67899
5485,70833
5557,137563
5566,133527
5606,33447
5607,49340
5613,177374
5614,178876
5633,134036
5691,92885
5692,91638
5730,67862
5731,71763
5749,9053
5780,281
5781,193
5785,173202
5938,71574
5953,66392
5954,71434
6003,101420
6004,73285
6018,115484
6019,117962
6025,66811
6026,55820
6040,1864
6041,695
6044,1811
6045,721
6091,80871
6093,88187
6094,75240
6095,76670
6103,108151
6108,81599
6109,111969
6131,105960
6156,158293
6164,104235
6168,74106
6169,79098
6184,13303
6185,13303
6208,9116
6209,9116
6212,87720
6213,106444
6214,159538
6221,76232
6222,75294
6225,92398
6226,80767
6227,29499
6228,29499
6292,107544
6293,73357
6294,92788
6295,111117
6298,21936
6299,162780
6300,22057
6312,148706
6313,151407
6314,157183
6315,30896
6316,48287
6320,106920
6321,109222
6331,166250
6332,166250
6351,80386
6352,109171
6354,78203
6383,78198
6384,93263
6385,111183
6422,67849
6423,69572
6435,94539
6436,95545
6534,103303
6535,111889
6540,42218
6541,47646
6562,21745
6563,18166
6585,52556
6586,32746
6587,107272
6588,108920
6589,92058
6612,50093
6716,94578
6717,98837
6757,159027
6758,156424
6805,92871
6806,55295
6807,62604
6808,28661
6817,91782
6869,109488
6870,83756
6899,43504
6900,88849
6919,91572
6920,82125
6960,384
6961,400
6986,61643
6987,56381
6988,58228
7037,14540
7038,14540
7039,10160
7047,7455
7048,8687
7049,3744
7062,88917
7089,57659
7090,59308
7097,84187
7098,84187
7158,84717
7335,130974
7336,127756
7338,123620
7339,128945
7340,127905
7341,129430
7349,124273
7350,160321
7351,128587
7377,82285
7425,158309
7426,151953
7438,92682
7439,94373
7449,158265
