OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
26,2762,MALCOLM REGULATOR,"3698 MALCOLM AVENUE, OAKLAND, CA",2115.0,B5D,Country Club,W,B3A,Piedmont,,,WSG,0.0,,OAK,,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1524,458,IS,2012-06-28,,MALCOLM REGULATOR REG,MALCOLM REGULATOR (REG),"3698 MALCOLM AVENUE, OAKLAND, CA",N,N,N,P,,2.0,6087958.0,2098641.0,Malcolm No. 2 Regulator,POINT (-122.1384769634234 37.74708927928178)
30,2751,VALLEY VIEW NO. 2 REGULATOR,"E/S VALLEY VIEW RD., 180' N/O SAN PABLO DAM",2109.0,A2E,Argyle,W,A2AA,Trilane,,,WSG,0.0,,ELS,,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1485,536,IS,2013-07-01,,VALLEY VIEW NO. 2 REGULATOR REG,VALLEY VIEW NO. 2 REGULATOR (REG),"E/S VALLEY VIEW RD., 180' N/O SAN PABLO DAM",N,N,N,P,,1.0,6047517.0,2177060.0,Valley View Regulator,POINT (-122.2834914752271 37.96038468882774)
31,1935,BERRYMAN SOUTH REGULATOR/RATE CONTROL STATION,GOLDEN GATE AVE. AND CHABOT RD,2046.0,A2A,Berryman,W,A2A,Berryman,,,WSG,12.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1497,496,TRS,2012-06-05,,BERRYMAN SOUTH REGULATOR/RATE CONTROL STATION REG,BERRYMAN SOUTH REGULATOR/RATE CONTROL STATION (REG),CLAREMONT CENTER,N,N,N,P,BERRYMAN SOUTH REG,2.0,6059221.0,2137435.0,Berryman South Regulator/RCS,POINT (-122.2403460978443 37.8521882666012)
34,2753,GRAYSON RESERVOIR LEVEL CONTROL VALVE,"2690 LARKEY LANE, WALNUT CREEK",2111.0,,,,,,,,WSG,0.0,,WC,CC,,,OA36,791.0,DISTRIBUTION FLOW CONTROL,DFC,1566,456,IS,2014-06-25,,GRAYSON RESERVOIR LEVEL CONTROL VALVE LCV,GRAYSON RESERVOIR LEVEL CONTROL VALVE (LCV),"2690 LARKEY LANE, WALNUT CREEK",N,N,N,P,,1.0,6129418.0,2097529.0,Grayson Reservoir Level Control Valve,POINT (-121.9950380690216 37.74594192902436)
37,1900,BERRYMAN NORTH REGULATOR,7600 Potrero Ave,2030.0,A2A,Berryman,W,A5A,Summit,,,WSG,61.0,,EC,CC,,,FT244,0.0,DISTRIBUTION FLOW CONTROL,DFC,1479,524,IS,2004-04-01,,BERRYMAN NORTH REGULATOR REG,BERRYMAN NORTH REGULATOR (REG),,N,N,N,P,BERRYMAN NORTH REG,2.0,6042049.0,2164655.0,Berryman North Regulator,POINT (-122.3016260162302 37.92603616600218)
52,1576,Berryman Rate Control Station,1330 Euclid Ave,33.0,A5A,Summit,W,A2A,Berryman,,,WSG,0.0,,BER,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1491,508,IS,2006-04-21,,Berryman Rate Control Station RCS,Berryman Rate Control Station (RCS),,N,N,,P,Berryman,2.0,6052971.0,2149028.0,Berryman RCS,POINT (-122.2627451504477 37.88369905834442)
57,1914,THORNDALE REGULATOR,Turnout of Thorndale Drive approx 160 ft west of house @ 6525 Thorndale Dr,2035.0,B11D,Thorndale Regulator,W,B13A,Skyline,,,WSG,0.0,,OAK,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1506,494,IS,2005-03-16,,THORNDALE REGULATOR REG,THORNDALE REGULATOR (REG),,N,N,N,P,THORNDALE,2.0,6069479.0,2136113.0,Thorndale Regulator,POINT (-122.2047394913677 37.84907677526598)
3,2750,LA COLINA NO. 2 REGULATOR,E/S AT 4078 SAN PABLO DAM RD (W/S SOUTHBOUND OF LA COLINA RD),2108.0,A2AA,Trilane,W,A2A,Berryman,,,WSG,0.0,,ELS,,,,SA82,646.0,DISTRIBUTION FLOW CONTROL,DFC,1476,538,IS,2011-01-27,,LA COLINA NO. 2 REGULATOR REG,LA COLINA NO. 2 REGULATOR (REG),E/S AT 4078 SAN PABLO DAM RD (W/S SOUTHBOUND OF LA COLINA RD),N,N,N,P,LA COLINA,1.0,6040051.0,2179162.0,La Colina No. 2 Regulator,POINT (-122.3095242270665 37.9657626352574)
4,2746,PIEDMONT REGULATOR NO. 2 (TEMPORARY),W/o Blair Av bet Scenic Av & Harbord Dr,0.0,,,,B5A,Dingee,,,WSG,159.0,,PIE,AL,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1500,488,IS,2009-04-20,,PIEDMONT REGULATOR NO. 2 (TEMPORARY) REG,PIEDMONT REGULATOR NO. 2 (TEMPORARY) (REG),w/Estates PP,N,N,N,P,PIEDMONT,2.0,6063867.0,2129407.0,,POINT (-122.2237450546126 37.83038084677153)
64,492,Painted Pony Regulator,E/s Painted Pony Rd at Clearwater Ct,1181.0,A4N,Painted Pony Regulator,W,A5B,Verde,,,WSG,0.0,,ELS,CC,,,,0.0,DISTRIBUTION FLOW CONTROL,DFC,1485,542,IS,1990-01-01,,Painted Pony Regulator REG,Painted Pony Regulator (REG),,N,N,N,P,Painted Pony,1.0,6049277.0,2182631.0,Painted Pony Regulator,POINT (-122.2777527943173 37.97577260017991)
