FAC_GN,PUMP_CRVE_PT_CD,PUMP_CRVE_PT_DYN_HEAD_QT,PUMP_CRVE_PT_CAP_QT
333,S,290.0,0.0
333,D,213.0,1400.0
333,U,130.0,1800.0
333,E,0.0,1900.0
334,S,69.0,0.0
334,D,56.0,1300.0
334,U,40.0,1800.0
334,E,0.0,1850.0
334,S,350.0,0.0
334,D,300.0,625.0
334,U,260.0,750.0
334,E,0.0,1050.0
334,S,358.0,0.0
334,D,300.0,850.0
334,U,215.0,1130.0
334,E,0.0,1500.0
876,S,220.0,0.0
876,D,135.0,300.0
876,U,60.0,440.0
876,E,0.0,560.0
876,S,215.0,0.0
876,U,55.0,448.0
651,S,400.0,0.0
651,D,308.0,1100.0
651,U,128.0,1800.0
651,E,0.0,2150.0
651,S,393.0,0.0
651,D,305.0,1100.0
651,U,124.0,1800.0
335,S,,
335,D,,
335,U,,
335,E,,
372,S,134.0,0.0
372,D,105.0,1200.0
372,U,50.0,1570.0
372,E,0.0,1650.0
336,S,205.0,0.0
336,D,113.0,1700.0
336,U,70.0,2100.0
336,E,0.0,2600.0
336,S,185.0,0.0
336,D,115.0,1740.0
336,U,45.0,2400.0
336,E,0.0,2660.0
337,S,325.0,0.0
337,D,225.0,660.0
337,U,120.0,900.0
337,E,0.0,1020.0
338,S,348.0,0.0
338,D,296.0,174.0
338,U,174.0,300.0
338,E,0.0,380.0
339,S,245.0,0.0
339,D,216.0,310.0
339,U,162.0,400.0
339,E,0.0,500.0
836,S,,
836,D,,
836,U,,
836,E,,
341,S,335.0,0.0
341,D,225.0,3600.0
341,U,135.0,5000.0
341,E,0.0,6400.0
341,S,350.0,0.0
341,D,235.0,6700.0
341,U,100.0,9000.0
341,E,0.0,10000.0
342,S,360.0,0.0
342,D,230.0,1130.0
342,U,165.0,1370.0
342,E,0.0,1800.0
342,S,385.0,0.0
342,D,250.0,1140.0
342,U,100.0,1710.0
342,E,0.0,2000.0
343,S,420.0,0.0
343,D,255.0,2225.0
343,U,155.0,3050.0
343,E,0.0,3875.0
343,S,350.0,0.0
343,D,240.0,4500.0
343,U,145.0,6000.0
343,E,0.0,7500.0
343,S,370.0,0.0
343,U,150.0,5950.0
343,E,0.0,7250.0
344,S,420.0,0.0
344,D,345.0,1300.0
344,U,250.0,1800.0
344,E,0.0,2400.0
345,S,510.0,0.0
345,D,435.0,450.0
345,U,270.0,650.0
345,E,0.0,775.0
345,S,520.0,0.0
345,D,440.0,450.0
345,U,300.0,650.0
345,E,0.0,850.0
345,S,478.0,0.0
345,D,360.0,535.0
345,U,303.0,600.0
345,E,0.0,750.0
345,S,550.0,0.0
345,D,385.0,625.0
345,U,165.0,1000.0
345,E,0.0,1200.0
345,S,625.0,0.0
345,D,400.0,900.0
345,U,110.0,1400.0
345,E,0.0,1500.0
346,S,325.0,0.0
346,D,220.0,250.0
346,U,120.0,375.0
346,E,0.0,475.0
347,S,320.0,0.0
347,D,250.0,550.0
347,U,150.0,635.0
347,E,0.0,665.0
349,S,327.0,0.0
349,D,260.0,400.0
349,U,150.0,750.0
349,E,0.0,1000.0
349,S,430.0,0.0
349,D,225.0,1000.0
349,U,100.0,1340.0
349,E,0.0,1500.0
348,S,300.0,0.0
348,D,262.0,275.0
348,U,220.0,360.0
348,E,0.0,415.0
348,S,320.0,0.0
348,D,265.0,330.0
348,U,215.0,400.0
348,E,0.0,550.0
350,S,282.0,0.0
350,D,240.0,300.0
350,U,180.0,400.0
350,E,0.0,463.0
351,S,320.0,0.0
351,D,202.0,295.0
351,U,95.0,450.0
351,E,0.0,535.0
351,S,323.0,0.0
351,D,215.0,310.0
351,U,95.0,470.0
352,S,276.0,0.0
352,D,224.0,300.0
352,U,176.0,350.0
352,E,0.0,400.0
352,S,305.0,0.0
352,D,270.0,250.0
352,U,185.0,380.0
352,E,0.0,520.0
738,S,,
738,D,,
738,U,,
738,E,,
353,S,415.0,0.0
353,D,355.0,1740.0
353,U,285.0,2400.0
353,E,0.0,3300.0
354,S,400.0,0.0
354,D,335.0,940.0
354,U,180.0,1450.0
354,E,0.0,1725.0
355,S,790.0,0.0
355,D,585.0,2100.0
355,U,400.0,2500.0
355,E,0.0,3250.0
355,S,725.0,0.0
355,D,495.0,2200.0
355,U,335.0,3000.0
355,E,0.0,4125.0
355,D,485.0,2800.0
355,U,330.0,3750.0
355,E,0.0,4750.0
356,S,710.0,0.0
356,D,444.0,3750.0
356,U,344.0,4250.0
356,E,0.0,5250.0
356,S,690.0,0.0
356,D,525.0,3375.0
356,U,450.0,4000.0
356,E,0.0,5200.0
356,D,510.0,3375.0
356,E,0.0,5500.0
357,S,195.0,0.0
357,D,163.0,550.0
357,U,129.0,700.0
357,E,0.0,900.0
384,S,350.0,0.0
384,D,256.0,150.0
384,U,203.0,175.0
384,E,0.0,213.0
384,S,365.0,0.0
384,D,250.0,150.0
384,U,188.0,178.0
359,S,280.0,0.0
359,D,240.0,300.0
359,U,180.0,400.0
359,E,0.0,450.0
360,S,303.0,0.0
360,D,215.0,275.0
360,U,115.0,440.0
360,E,0.0,540.0
360,S,290.0,0.0
360,D,220.0,275.0
360,U,50.0,445.0
360,E,0.0,475.0
360,S,350.0,0.0
360,D,215.0,425.0
360,U,80.0,600.0
360,E,0.0,675.0
361,S,460.0,0.0
361,D,330.0,265.0
361,U,115.0,445.0
361,E,0.0,500.0
361,S,440.0,0.0
361,D,320.0,270.0
361,U,110.0,445.0
361,E,0.0,480.0
362,S,248.0,0.0
362,D,225.0,150.0
362,U,169.0,240.0
362,E,0.0,280.0
1047,S,348.0,0.0
1047,D,220.0,520.0
1047,U,85.0,800.0
1047,E,0.0,940.0
1047,S,344.0,0.0
1047,D,224.0,520.0
1047,U,88.0,800.0
363,S,230.0,0.0
363,D,196.0,240.0
363,U,178.0,280.0
363,E,0.0,283.0
364,S,310.0,0.0
364,D,214.0,238.0
364,U,150.0,300.0
364,E,0.0,338.0
652,S,,
652,D,,
652,U,,
652,E,,
365,S,320.0,0.0
365,D,268.0,500.0
365,U,204.0,615.0
365,E,0.0,700.0
365,S,268.0,0.0
365,D,227.0,450.0
365,U,196.0,525.0
358,S,166.0,0.0
358,D,140.0,4300.0
358,U,78.0,6750.0
358,E,0.0,7500.0
231,S,202.0,0.0
231,D,168.0,490.0
231,U,142.0,590.0
231,E,0.0,700.0
764,S,500.0,0.0
764,D,450.0,40.0
764,U,325.0,64.0
764,E,0.0,80.0
250,S,300.0,0.0
250,D,240.0,1200.0
250,U,118.0,2000.0
250,E,0.0,2500.0
250,S,265.0,0.0
250,D,198.0,3400.0
250,U,155.0,4000.0
250,E,0.0,5000.0
250,S,339.0,0.0
250,D,192.0,3250.0
250,U,90.0,4500.0
250,E,0.0,5100.0
250,S,284.0,0.0
250,D,200.0,3000.0
250,U,110.0,4200.0
250,E,0.0,4750.0
730,S,,
730,D,,
730,U,,
730,E,,
251,S,270.0,0.0
251,D,215.0,600.0
251,U,100.0,940.0
251,E,0.0,1150.0
251,S,300.0,0.0
251,D,215.0,630.0
251,U,138.0,800.0
251,E,0.0,1000.0
731,S,350.0,0.0
731,D,280.0,180.0
731,U,180.0,260.0
731,E,0.0,300.0
731,U,130.0,300.0
731,E,0.0,350.0
367,S,178.0,0.0
367,D,148.0,1200.0
367,U,45.0,1645.0
367,E,0.0,1650.0
367,S,171.0,0.0
367,D,130.0,10000.0
367,U,88.0,12000.0
367,E,0.0,12250.0
252,S,255.0,0.0
