OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
27,2740,ROUND HILL NO. 2 PUMPING PLANT,"455 LIVORNA ROAD, ALAMO, CA",2107.0,F7D,Round Hill,E,F5B,Diablo,,,WSG,0.0,,AMO,CC,,,WA73,850.0,DISTRIBUTION PUMPING PLANT,DPP,1563,502,IS,2014-01-31,,ROUND HILL NO. 2 PUMPING PLANT,ROUND HILL NO. 2 PUMPING PLANT (DPP),,N,N,N,P,ROUND HILL NO. 2,1.0,6125211.0,2142624.0,Round Hill No. 2 Pumping Plant,POINT (-122.012106405098 37.86958567810382)
28,2006,LELAND NO. 2 PUMPING PLANT,2201 Larkey Ave.,2103.0,H1A,Leland,E,H1A,Leland,,,WSG,239.0,,WC,CC,,,WA26,0.0,DISTRIBUTION PUMPING PLANT,DPP,1542,518,IS,2016-01-19,,LELAND NO. 2 PUMPING PLANT,LELAND NO. 2 PUMPING PLANT (DPP),,N,N,N,P,LELAND NO. 2 PP,1.0,6104610.0,2159586.0,Leland No. 2 Pumping Plant,POINT (-122.0844603571021 37.91522566648186)
35,1934,CITY OF HAYWARD SKYWEST BOOSTER PUMP STATION,22488 Skywest Drive,2043.0,,,,,,,,WSG,0.0,,HAY,AL,,,,0.0,DISTRIBUTION PUMPING PLANT,DPP,0,0,SB,2008-09-24,,CITY OF HAYWARD SKYWEST BOOSTER PUMP STATION (SB),CITY OF HAYWARD SKYWEST BOOSTER PUMP STATION (DPP) (SB),,N,N,N,P,HAYWARD INTERTIE,2.0,6627418.0,2249852.0,City of Hayward Skywest Booster Pump Station,POINT (-120.2712762550436 38.17351676148824)
42,528,DONALD TEMPORARY PUMPING PLANT (SKID MOUNTED),STORED AT OAKPORT,0.0,D7A,Baseline,E,D5A,Bryant,,,WSG,21.0,,OR,CC,,,,0.0,DISTRIBUTION PUMPING PLANT,DPP,1524,496,TRS,1992-01-13,,DONALD TEMPORARY PUMPING PLANT (SKID MOUNTED) (Temp),DONALD TEMPORARY PUMPING PLANT (SKID MOUNTED) (DPP) (Temp),STORED AT OAKPORT,Y,N,N,P,DONALD (TEMP),1.0,6085397.0,2136857.0,,POINT (-122.1496629923296 37.85190310777445)
48,255,Bacon Pumping Plant,1218 Bacon Way,692.0,E5B,Brookwood,E,E3A,Colorados,,,WSG,91.0,,LAF,CC,,,WA05,681.0,DISTRIBUTION PUMPING PLANT,DPP,1542,514,IS,2006-05-24,,Bacon Pumping Plant,Bacon Pumping Plant (DPP),,N,N,N,P,Bacon,1.0,6105453.0,2155789.0,Bacon PP,POINT (-122.081314065269 37.90483611415964)
49,340,San Pablo Water Treatment Plant Wshwtr Pmp Plt,In Pipe Gallery,501.0,,,,,,,,WSG,29.0,,KEN,CC,,,,0.0,WASHWATER PUMPING PLANT,WSPP,1482,516,IS,1990-01-01,,San Pablo Water Treatment Plant Wshwtr Pmp Plt,San Pablo Water Treatment Plant Wshwtr Pmp Plt (WSPP),,N,N,N,,San Pablo PP,2.0,6046267.0,2156407.0,San Pablo WTP,POINT (-122.2864580467153 37.90361124813614)
50,274,Castle Hill Pumping Plant,R/W E/o Rockview Dr,1451.0,D5A,Bryant,E,E3A,Colorados,,,WSG,204.0,,WC,CC,,,OA42,557.0,DISTRIBUTION PUMPING PLANT,DPP,1548,502,IS,1990-01-01,,Castle Hill Pumping Plant,Castle Hill Pumping Plant (DPP),,N,N,N,P,Castle Hill,1.0,6110067.0,2142707.0,Castle Hill PP,POINT (-122.06456644415 37.86912730515591)
53,291,Encinal Pumping Plant,4 Madera Ln,463.0,D7C,Encinal,E,D5A,Bryant,,,WSG,152.0,,OR,CC,,,OA09,608.0,DISTRIBUTION PUMPING PLANT,DPP,1506,508,IS,2005-03-05,,Encinal Pumping Plant,Encinal Pumping Plant (DPP),,N,N,N,P,Encinal,1.0,6070267.0,2149817.0,Encinal PP,POINT (-122.2028734426088 37.88674414835547)
58,648,LAGUNA NO. 2 PUMPING PLANT,,1473.0,D7A,Baseline,E,D9J,Laguna,,,WSG,307.0,,OR,CC,,,,0.0,DISTRIBUTION PUMPING PLANT,DPP,1512,500,IS,2012-05-22,,LAGUNA NO. 2 PUMPING PLANT,LAGUNA NO. 2 PUMPING PLANT (DPP),,N,N,N,P,LAGUNA NO 2,1.0,6073430.0,2142164.0,Laguna No 2 PP,POINT (-122.1914365661674 37.86588874326002)
6,328,Pearl Pumping Plant,Barth Ave & Capital Hill Ave,635.0,A4D,Pearl,W,A2A,Berryman,,,WSG,180.0,,RCH,CC,,,SA26,228.0,DISTRIBUTION PUMPING PLANT,DPP,1473,534,IS,1990-01-01,,Pearl Pumping Plant,Pearl Pumping Plant (DPP),,N,N,N,P,Pearl,1.0,6037141.0,2176039.0,Pearl PP,POINT (-122.3194042876927 37.9570328794732)
