OBJECTID,FAC_GN,FAC_NM,FAC_ADDR_T,STRCT_NU,PRSZ_CD,PRSZ_DESC_,PRSZ_HILL_,PRSZ_SRC_C,PRSZ_SRC_D,PLNG_PRSZ_,PLNG_PRSZ1,FUND_CD,FAC_SITE_G,FAC_ALT_CD,CITY_CD,CNTY_CD,ZIP_NU,FAC_DIRCTN,RTU_NM,OPS_LOOP_N,FAC_TYPE_N,FAC_TYPE_A,MAP_EAST_N,MAP_NORTH_,FAC_STAT_C,FAC_FAC_ST,FAC_FAC__1,FAC_PRINT_,FAC_FULL_P,FAC_LOC_TX,FAC_TEMP_F,FAC_STBY_F,FAC_STAFFE,WTR_TYPE_C,FAC_ABBRV_,MAINT_AREA,FAC_NAD83_,FAC_NAD831,STRCT_NM,geometry
25,2736,SCHAPIRO RESERVOIR,WEST OF END OF BONITA RD.,2105.0,A2A,Berryman,W,,,,,WSG,0.0,,RCH,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1473,534,IS,2015-07-09,,SCHAPIRO RESERVOIR,SCHAPIRO RESERVOIR (DRES),,N,N,N,P,SCHAPIRO NO. 2,1.0,6036910.0,2175744.0,Schapiro Reservoir,POINT (-122.320187263703 37.9562105074408)
29,2813,ESTATES NO. 2 RESERVOIR,"6317 ESTATES DRIVE, OAKLAND, CA",2116.0,B5A,Dingee,W,,,,,WSG,102.0,,OAK,,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1503,486,IS,2015-03-19,,ESTATES NO. 2 RESERVOIR,ESTATES NO. 2 RESERVOIR (DRES),"6317 ESTATES DRIVE, OAKLAND, CA",N,N,N,P,,2.0,6065892.0,2128229.0,Estates Reservoir (Proposed),POINT (-122.216659790367 37.82724845649514)
32,2763,ESTATES NO. 1 RESERVOIR,"6317 ESTATES DRIVE, OAKLAND, CA",2116.0,B5A,Dingee,W,,,,,WSG,102.0,,OAK,,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1503,486,IS,2015-03-19,,ESTATES NO. 1 RESERVOIR,ESTATES NO. 1 RESERVOIR (DRES),"6317 ESTATES DRIVE, OAKLAND, CA",N,N,N,P,,2.0,6065809.0,2128370.0,Estates Reservoir (Proposed),POINT (-122.2169560756945 37.82763144000984)
33,39,LAFAYETTE RESERVOIR,Opposite Lafayette Center,527.0,,,,,,,,WSG,0.0,,LAF,CC,,,WAST01,531.0,SUPPLY RESERVOIR,SRES,1527,508,SB,1990-01-01,,LAFAYETTE RESERVOIR (SB),LAFAYETTE RESERVOIR (SRES) (SB),,N,N,N,U,LAFAYETTE RES,1.0,6088687.0,2148937.0,Lafayette Reservoir and Dam,POINT (-122.1390024227137 37.88523190210656)
36,378,SIESTA RESERVOIR,"END OF QUARRY HOUSE ROAD, OFF WILDER ROAD",589.0,D7A,Baseline,E,,,,,WSG,0.0,,OR,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1512,502,IS,2011-11-02,,SIESTA RESERVOIR,SIESTA RESERVOIR (DRES),"END OF QUARRY HOUSE ROAD, OFF WILDER ROAD, ORINDA",N,N,N,P,SIESTA,1.0,6073818.0,2143128.0,Siesta Reservoir,POINT (-122.1901529869495 37.86855498484613)
41,1967,LAGUNA NO. 2 RESERVOIR,179 Crestview Drive (through a private residence gate),2094.0,D9J,Laguna,E,,,,,WSG,0.0,,OR,CC,,,OA45-2,655.0,DISTRIBUTION RESERVOIR,DRES,1515,498,IS,2009-02-27,,LAGUNA NO. 2 RESERVOIR,LAGUNA NO. 2 RESERVOIR (DRES),,N,N,N,P,LAGUNA NO 2 RES,1.0,6078245.0,2138915.0,Laguna No 2 Reservoir,POINT (-122.1745577791512 37.8572052722071)
43,1577,BERRYMAN RESERVOIR,1375 Euclid Ave,725.0,A2A,Berryman,W,A2A,Berryman,,,WSG,0.0,,BER,AL,,,SA44,284.0,DISTRIBUTION RESERVOIR,DRES,1491,508,IS,2013-03-13,,BERRYMAN RESERVOIR,BERRYMAN RESERVOIR (DRES),,N,N,N,P,BERRYMAN,2.0,6053267.0,2149237.0,Berryman Reservoir,POINT (-122.2617338812846 37.88428836820101)
51,1595,Hawthorne Reservoir,Access Rd R/W - 1000' E/o Woodbury Ct,714.0,F3A,Danville,E,,,,,WSG,0.0,,WC,CC,,,WA41,813.0,DISTRIBUTION RESERVOIR,DRES,1560,506,IS,2001-07-11,,Hawthorne Reservoir,Hawthorne Reservoir (DRES),,N,N,,P,Hawthorne,1.0,6123547.0,2147807.0,Hawthorne Reservoir,POINT (-122.0181593430047 37.88374046620211)
55,169,Ridgewood PT Reservoir,2085 Ridgewood Rd,684.0,D5AE,Ridgewood,E,,,,,WSG,0.0,,AMO,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1554,496,IS,1963-01-01,,Ridgewood PT Reservoir,Ridgewood PT Reservoir (DRES),,N,N,N,P,Ridgewood PT,1.0,6115565.0,2137258.0,Ridgewood PP and Pressure Tank,POINT (-122.0452104345096 37.85441549653682)
59,375,SCENIC SOUTH RESERVOIR,R/W east of Charbray St. approx. 400 ft. south of Baltana St.,2092.0,F7E,Scenic,E,,,,,WSG,0.0,,DAN,CC,,,,0.0,DISTRIBUTION RESERVOIR,DRES,1602,470,TRS,2009-06-01,,SCENIC SOUTH RESERVOIR,SCENIC SOUTH RESERVOIR (DRES),,N,N,N,P,SCENIC-SOUTH,1.0,6163998.0,2112148.0,Scenic South Reservoir,POINT (-121.8761961331502 37.7875427697364)
